id,project_id,name,model_name,model_repo,dataset_name,dataset_repo,training_type,learning_rate,batch_size,epochs,optimizer,lora_rank,gradient_accumulation_steps,max_sequence_length,seed,status,final_train_loss,eval_accuracy,gpu,training_duration_minutes,created_at,finished_at,notes
1,1,Phi-4 Mini - MedMCQA - Run 01,Phi-4 Mini,microsoft/Phi-4-mini-instruct,MedMCQA,openlifescienceai/medmcqa,Full/Baseline,1e-05,2,2,AdamW,0,1,1024,42,completed,1.49,0.56,NVIDIA A100 80GB,97,2026-09-04T09:00:00,2026-09-04T10:30:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
2,1,Qwen2.5 3B - Medical O1 Reasoning - Run 02,Qwen2.5 3B,Qwen/Qwen2.5-3B-Instruct,Medical O1 Reasoning,FreedomIntelligence/medical-o1-reasoning-SFT,LoRA SFT,2e-05,2,2,AdamW,8,2,2048,43,completed,1.31,0.645,NVIDIA L40S,110,2026-09-04T15:00:00,2026-09-04T17:12:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
3,1,Llama 3.2 3B - MedMCQA - Run 03,Llama 3.2 3B,meta-llama/Llama-3.2-3B-Instruct,MedMCQA,openlifescienceai/medmcqa,LoRA SFT,3e-05,4,2,AdamW,16,4,4096,44,completed,1.13,0.65,NVIDIA RTX 4090,123,2026-09-04T21:00:00,2026-09-04T23:54:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
4,1,Phi-4 Mini - Medical O1 Reasoning - Run 04,Phi-4 Mini,microsoft/Phi-4-mini-instruct,Medical O1 Reasoning,FreedomIntelligence/medical-o1-reasoning-SFT,LoRA SFT,5e-05,4,3,Lion,32,1,1024,45,completed,0.94,0.685,NVIDIA A100 80GB,136,2026-09-05T03:00:00,2026-09-05T06:36:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
5,1,Qwen2.5 3B - MedMCQA - Run 05,Qwen2.5 3B,Qwen/Qwen2.5-3B-Instruct,MedMCQA,openlifescienceai/medmcqa,Full/Baseline,1e-05,8,3,AdamW,0,2,2048,46,completed,1.09,0.73,NVIDIA L40S,149,2026-09-05T09:00:00,2026-09-05T13:18:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
6,1,Llama 3.2 3B - Medical O1 Reasoning - Run 06,Llama 3.2 3B,meta-llama/Llama-3.2-3B-Instruct,Medical O1 Reasoning,FreedomIntelligence/medical-o1-reasoning-SFT,LoRA SFT,2e-05,8,3,AdamW,8,4,4096,47,completed,0.88,0.755,NVIDIA RTX 4090,162,2026-09-05T15:00:00,2026-09-05T16:30:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
7,1,Phi-4 Mini - MedMCQA - Run 07,Phi-4 Mini,microsoft/Phi-4-mini-instruct,MedMCQA,openlifescienceai/medmcqa,LoRA SFT,3e-05,2,4,AdamW,16,1,1024,48,completed,0.69,0.58,NVIDIA A100 80GB,175,2026-09-05T21:00:00,2026-09-05T23:12:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
8,1,Qwen2.5 3B - Medical O1 Reasoning - Run 08,Qwen2.5 3B,Qwen/Qwen2.5-3B-Instruct,Medical O1 Reasoning,FreedomIntelligence/medical-o1-reasoning-SFT,LoRA SFT,5e-05,2,4,Lion,32,2,2048,49,completed,0.45,0.645,NVIDIA L40S,188,2026-09-06T03:00:00,2026-09-06T05:54:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
9,1,Llama 3.2 3B - MedMCQA - Run 09,Llama 3.2 3B,meta-llama/Llama-3.2-3B-Instruct,MedMCQA,openlifescienceai/medmcqa,Full/Baseline,1e-05,4,4,AdamW,0,4,4096,50,completed,0.69,0.63,NVIDIA RTX 4090,201,2026-09-06T09:00:00,2026-09-06T12:36:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
10,1,Phi-4 Mini - Medical O1 Reasoning - Run 10,Phi-4 Mini,microsoft/Phi-4-mini-instruct,Medical O1 Reasoning,FreedomIntelligence/medical-o1-reasoning-SFT,LoRA SFT,2e-05,4,2,AdamW,8,1,1024,51,completed,1.43,0.685,NVIDIA A100 80GB,214,2026-09-06T15:00:00,2026-09-06T19:18:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
11,1,Qwen2.5 3B - MedMCQA - Run 11,Qwen2.5 3B,Qwen/Qwen2.5-3B-Instruct,MedMCQA,openlifescienceai/medmcqa,LoRA SFT,3e-05,8,2,AdamW,16,2,2048,52,running,,,NVIDIA L40S,,2026-09-06T21:00:00,,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
12,1,Llama 3.2 3B - Medical O1 Reasoning - Run 12,Llama 3.2 3B,meta-llama/Llama-3.2-3B-Instruct,Medical O1 Reasoning,FreedomIntelligence/medical-o1-reasoning-SFT,LoRA SFT,5e-05,8,2,Lion,32,4,4096,53,failed,,,NVIDIA RTX 4090,,2026-09-07T03:00:00,,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
13,2,Phi-4 Mini - Medical O1 Reasoning - Run 01,Phi-4 Mini,microsoft/Phi-4-mini-instruct,Medical O1 Reasoning,FreedomIntelligence/medical-o1-reasoning-SFT,Full/Baseline,1e-05,2,2,AdamW,0,1,1024,42,completed,1.54,0.56,NVIDIA A100 80GB,104,2026-09-07T09:00:00,2026-09-07T10:30:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
14,2,Qwen2.5 3B - MedMCQA - Run 02,Qwen2.5 3B,Qwen/Qwen2.5-3B-Instruct,MedMCQA,openlifescienceai/medmcqa,LoRA SFT,2e-05,2,2,AdamW,8,2,2048,43,completed,1.36,0.645,NVIDIA L40S,117,2026-09-07T15:00:00,2026-09-07T17:12:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
15,2,Llama 3.2 3B - Medical O1 Reasoning - Run 03,Llama 3.2 3B,meta-llama/Llama-3.2-3B-Instruct,Medical O1 Reasoning,FreedomIntelligence/medical-o1-reasoning-SFT,LoRA SFT,3e-05,4,2,AdamW,16,4,4096,44,completed,1.18,0.65,NVIDIA RTX 4090,130,2026-09-07T21:00:00,2026-09-07T23:54:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
16,2,Phi-4 Mini - MedMCQA - Run 04,Phi-4 Mini,microsoft/Phi-4-mini-instruct,MedMCQA,openlifescienceai/medmcqa,LoRA SFT,5e-05,4,3,Lion,32,1,1024,45,completed,0.99,0.685,NVIDIA A100 80GB,143,2026-09-08T03:00:00,2026-09-08T06:36:00,Synthetic seed record. Values are generated for application development and must not be treated as real benchmark results.
