id,experiment_id,name,value,step,timestamp
1,1,train_loss,1.75,1,2026-09-04T09:25:00
2,1,val_loss,1.85,1,2026-09-04T09:25:00
3,1,accuracy,0.59,1,2026-09-04T09:25:00
4,1,train_loss,1.47,2,2026-09-04T09:50:00
5,1,val_loss,1.57,2,2026-09-04T09:50:00
6,1,accuracy,0.68,2,2026-09-04T09:50:00
7,2,train_loss,1.61,1,2026-09-04T15:25:00
8,2,val_loss,1.735,1,2026-09-04T15:25:00
9,2,accuracy,0.648,1,2026-09-04T15:25:00
10,2,train_loss,1.3,2,2026-09-04T15:50:00
11,2,val_loss,1.425,2,2026-09-04T15:50:00
12,2,accuracy,0.738,2,2026-09-04T15:50:00
13,3,train_loss,1.47,1,2026-09-04T21:25:00
14,3,val_loss,1.62,1,2026-09-04T21:25:00
15,3,accuracy,0.641,1,2026-09-04T21:25:00
16,3,train_loss,1.13,2,2026-09-04T21:50:00
17,3,val_loss,1.28,2,2026-09-04T21:50:00
18,3,accuracy,0.731,2,2026-09-04T21:50:00
19,4,train_loss,1.69,1,2026-09-05T03:25:00
20,4,val_loss,1.79,1,2026-09-05T03:25:00
21,4,accuracy,0.629,1,2026-09-05T03:25:00
22,4,train_loss,1.32,2,2026-09-05T03:50:00
23,4,val_loss,1.42,2,2026-09-05T03:50:00
24,4,accuracy,0.689,2,2026-09-05T03:50:00
25,4,train_loss,0.95,3,2026-09-05T04:15:00
26,4,val_loss,1.05,3,2026-09-05T04:15:00
27,4,accuracy,0.749,3,2026-09-05T04:15:00
28,5,train_loss,1.67,1,2026-09-05T09:25:00
29,5,val_loss,1.795,1,2026-09-05T09:25:00
30,5,accuracy,0.657,1,2026-09-05T09:25:00
31,5,train_loss,1.39,2,2026-09-05T09:50:00
32,5,val_loss,1.515,2,2026-09-05T09:50:00
33,5,accuracy,0.717,2,2026-09-05T09:50:00
34,5,train_loss,1.11,3,2026-09-05T10:15:00
35,5,val_loss,1.235,3,2026-09-05T10:15:00
36,5,accuracy,0.777,3,2026-09-05T10:15:00
37,6,train_loss,1.48,1,2026-09-05T15:25:00
38,6,val_loss,1.63,1,2026-09-05T15:25:00
39,6,accuracy,0.665,1,2026-09-05T15:25:00
40,6,train_loss,1.17,2,2026-09-05T15:50:00
41,6,val_loss,1.32,2,2026-09-05T15:50:00
42,6,accuracy,0.725,2,2026-09-05T15:50:00
43,6,train_loss,0.86,3,2026-09-05T16:15:00
44,6,val_loss,1.01,3,2026-09-05T16:15:00
45,6,accuracy,0.785,3,2026-09-05T16:15:00
46,7,train_loss,1.7,1,2026-09-05T21:25:00
47,7,val_loss,1.8,1,2026-09-05T21:25:00
48,7,accuracy,0.56,1,2026-09-05T21:25:00
49,7,train_loss,1.36,2,2026-09-05T21:50:00
50,7,val_loss,1.46,2,2026-09-05T21:50:00
51,7,accuracy,0.605,2,2026-09-05T21:50:00
52,7,train_loss,1.02,3,2026-09-05T22:15:00
53,7,val_loss,1.12,3,2026-09-05T22:15:00
54,7,accuracy,0.65,3,2026-09-05T22:15:00
55,7,train_loss,0.68,4,2026-09-05T22:40:00
56,7,val_loss,0.78,4,2026-09-05T22:40:00
57,7,accuracy,0.695,4,2026-09-05T22:40:00
58,8,train_loss,1.56,1,2026-09-06T03:25:00
59,8,val_loss,1.685,1,2026-09-06T03:25:00
60,8,accuracy,0.603,1,2026-09-06T03:25:00
61,8,train_loss,1.19,2,2026-09-06T03:50:00
62,8,val_loss,1.315,2,2026-09-06T03:50:00
63,8,accuracy,0.648,2,2026-09-06T03:50:00
64,8,train_loss,0.82,3,2026-09-06T04:15:00
65,8,val_loss,0.945,3,2026-09-06T04:15:00
66,8,accuracy,0.693,3,2026-09-06T04:15:00
67,8,train_loss,0.45,4,2026-09-06T04:40:00
68,8,val_loss,0.575,4,2026-09-06T04:40:00
69,8,accuracy,0.738,4,2026-09-06T04:40:00
70,9,train_loss,1.54,1,2026-09-06T09:25:00
71,9,val_loss,1.69,1,2026-09-06T09:25:00
72,9,accuracy,0.581,1,2026-09-06T09:25:00
73,9,train_loss,1.26,2,2026-09-06T09:50:00
74,9,val_loss,1.41,2,2026-09-06T09:50:00
75,9,accuracy,0.626,2,2026-09-06T09:50:00
76,9,train_loss,0.98,3,2026-09-06T10:15:00
77,9,val_loss,1.13,3,2026-09-06T10:15:00
78,9,accuracy,0.671,3,2026-09-06T10:15:00
79,9,train_loss,0.7,4,2026-09-06T10:40:00
80,9,val_loss,0.85,4,2026-09-06T10:40:00
81,9,accuracy,0.716,4,2026-09-06T10:40:00
82,10,train_loss,1.76,1,2026-09-06T15:25:00
83,10,val_loss,1.86,1,2026-09-06T15:25:00
84,10,accuracy,0.659,1,2026-09-06T15:25:00
85,10,train_loss,1.45,2,2026-09-06T15:50:00
86,10,val_loss,1.55,2,2026-09-06T15:50:00
87,10,accuracy,0.749,2,2026-09-06T15:50:00
88,11,train_loss,1.57,1,2026-09-06T21:25:00
89,11,val_loss,1.695,1,2026-09-06T21:25:00
90,11,accuracy,0.702,1,2026-09-06T21:25:00
91,13,train_loss,1.8,1,2026-09-07T09:25:00
92,13,val_loss,1.9,1,2026-09-07T09:25:00
93,13,accuracy,0.59,1,2026-09-07T09:25:00
94,13,train_loss,1.52,2,2026-09-07T09:50:00
95,13,val_loss,1.62,2,2026-09-07T09:50:00
96,13,accuracy,0.68,2,2026-09-07T09:50:00
97,14,train_loss,1.66,1,2026-09-07T15:25:00
98,14,val_loss,1.785,1,2026-09-07T15:25:00
99,14,accuracy,0.648,1,2026-09-07T15:25:00
100,14,train_loss,1.35,2,2026-09-07T15:50:00
101,14,val_loss,1.475,2,2026-09-07T15:50:00
102,14,accuracy,0.738,2,2026-09-07T15:50:00
103,15,train_loss,1.52,1,2026-09-07T21:25:00
104,15,val_loss,1.67,1,2026-09-07T21:25:00
105,15,accuracy,0.641,1,2026-09-07T21:25:00
106,15,train_loss,1.18,2,2026-09-07T21:50:00
107,15,val_loss,1.33,2,2026-09-07T21:50:00
108,15,accuracy,0.731,2,2026-09-07T21:50:00
109,16,train_loss,1.74,1,2026-09-08T03:25:00
110,16,val_loss,1.84,1,2026-09-08T03:25:00
111,16,accuracy,0.629,1,2026-09-08T03:25:00
112,16,train_loss,1.37,2,2026-09-08T03:50:00
113,16,val_loss,1.47,2,2026-09-08T03:50:00
114,16,accuracy,0.689,2,2026-09-08T03:50:00
115,16,train_loss,1.0,3,2026-09-08T04:15:00
116,16,val_loss,1.1,3,2026-09-08T04:15:00
117,16,accuracy,0.749,3,2026-09-08T04:15:00
118,17,train_loss,1.72,1,2026-09-08T09:25:00
119,17,val_loss,1.845,1,2026-09-08T09:25:00
120,17,accuracy,0.657,1,2026-09-08T09:25:00
121,17,train_loss,1.44,2,2026-09-08T09:50:00
122,17,val_loss,1.565,2,2026-09-08T09:50:00
123,17,accuracy,0.717,2,2026-09-08T09:50:00
124,17,train_loss,1.16,3,2026-09-08T10:15:00
125,17,val_loss,1.285,3,2026-09-08T10:15:00
126,17,accuracy,0.777,3,2026-09-08T10:15:00
127,18,train_loss,1.53,1,2026-09-08T15:25:00
128,18,val_loss,1.68,1,2026-09-08T15:25:00
129,18,accuracy,0.665,1,2026-09-08T15:25:00
130,18,train_loss,1.22,2,2026-09-08T15:50:00
131,18,val_loss,1.37,2,2026-09-08T15:50:00
132,18,accuracy,0.725,2,2026-09-08T15:50:00
133,18,train_loss,0.91,3,2026-09-08T16:15:00
134,18,val_loss,1.06,3,2026-09-08T16:15:00
135,18,accuracy,0.785,3,2026-09-08T16:15:00
136,19,train_loss,1.75,1,2026-09-08T21:25:00
137,19,val_loss,1.85,1,2026-09-08T21:25:00
138,19,accuracy,0.56,1,2026-09-08T21:25:00
139,19,train_loss,1.41,2,2026-09-08T21:50:00
140,19,val_loss,1.51,2,2026-09-08T21:50:00
141,19,accuracy,0.605,2,2026-09-08T21:50:00
142,19,train_loss,1.07,3,2026-09-08T22:15:00
143,19,val_loss,1.17,3,2026-09-08T22:15:00
144,19,accuracy,0.65,3,2026-09-08T22:15:00
145,19,train_loss,0.73,4,2026-09-08T22:40:00
146,19,val_loss,0.83,4,2026-09-08T22:40:00
147,19,accuracy,0.695,4,2026-09-08T22:40:00
148,20,train_loss,1.61,1,2026-09-09T03:25:00
149,20,val_loss,1.735,1,2026-09-09T03:25:00
150,20,accuracy,0.603,1,2026-09-09T03:25:00
151,20,train_loss,1.24,2,2026-09-09T03:50:00
152,20,val_loss,1.365,2,2026-09-09T03:50:00
153,20,accuracy,0.648,2,2026-09-09T03:50:00
154,20,train_loss,0.87,3,2026-09-09T04:15:00
155,20,val_loss,0.995,3,2026-09-09T04:15:00
156,20,accuracy,0.693,3,2026-09-09T04:15:00
157,20,train_loss,0.5,4,2026-09-09T04:40:00
158,20,val_loss,0.625,4,2026-09-09T04:40:00
159,20,accuracy,0.738,4,2026-09-09T04:40:00
160,21,train_loss,1.59,1,2026-09-09T09:25:00
161,21,val_loss,1.74,1,2026-09-09T09:25:00
162,21,accuracy,0.581,1,2026-09-09T09:25:00
163,21,train_loss,1.31,2,2026-09-09T09:50:00
164,21,val_loss,1.46,2,2026-09-09T09:50:00
165,21,accuracy,0.626,2,2026-09-09T09:50:00
166,21,train_loss,1.03,3,2026-09-09T10:15:00
167,21,val_loss,1.18,3,2026-09-09T10:15:00
168,21,accuracy,0.671,3,2026-09-09T10:15:00
169,21,train_loss,0.75,4,2026-09-09T10:40:00
170,21,val_loss,0.9,4,2026-09-09T10:40:00
171,21,accuracy,0.716,4,2026-09-09T10:40:00
172,22,train_loss,1.81,1,2026-09-09T15:25:00
173,22,val_loss,1.91,1,2026-09-09T15:25:00
174,22,accuracy,0.659,1,2026-09-09T15:25:00
175,22,train_loss,1.5,2,2026-09-09T15:50:00
176,22,val_loss,1.6,2,2026-09-09T15:50:00
177,22,accuracy,0.749,2,2026-09-09T15:50:00
178,23,train_loss,1.62,1,2026-09-09T21:25:00
179,23,val_loss,1.745,1,2026-09-09T21:25:00
180,23,accuracy,0.702,1,2026-09-09T21:25:00
